dataset,mode,target,model,seed,fold,train_r2,train_rmse,train_nrmse,train_mae,test_r2,test_rmse,test_nrmse,test_mae
Dataset_3772,single_output,Si Particle Size (um),gradient_boosting,2024,3,0.9816760938956335,0.023906680776473614,0.03855916254269938,0.01813834258284399,0.926774880784839,0.07890265853237614,0.09862832316547017,0.0633223479744468
Dataset_3772,single_output,Si Particle Size (um),gradient_boosting,2024,4,0.9870011363107654,0.024661836247076484,0.030827295308845603,0.018297366329985847,0.894413220073136,0.05674664135034788,0.11822216947989143,0.041520981062182015
Dataset_3772,single_output,Si Particle Size (um),gradient_boosting,99,0,0.8931440870453954,0.07173323770745033,0.09080156671829155,0.05797203529849594,0.503294685088938,0.11473468971387252,0.2390306035705677,0.10309318774605446
Dataset_3772,single_output,Si Particle Size (um),gradient_boosting,99,1,0.9864420939911203,0.023990791939704728,0.02998848992463091,0.019203877789138072,0.956610323161085,0.04069264981234853,0.06563330614894924,0.034413295841720946
Dataset_3772,single_output,Si Particle Size (um),gradient_boosting,99,2,0.9839548854901911,0.024269965508015787,0.037338408473870446,0.013508806998066876,0.925599682866847,0.06721661354120081,0.08962215138826775,0.05028122007111482
Dataset_3772,single_output,Si Particle Size (um),gradient_boosting,99,3,0.9880827290771435,0.02468804734013414,0.030860059175167674,0.018827958866849525,0.8404052655324619,0.04686730920307771,0.13390659772307917,0.03699592397286512
Dataset_3772,single_output,Si Particle Size (um),gradient_boosting,99,4,0.9834946853096739,0.0256970463840026,0.03212130798000325,0.019262804601378258,0.932668468835855,0.06310233201930562,0.10517055336550937,0.051850416805051626
Dataset_3772,single_output,Hardness (HV),xgboost,42,0,0.9858238697052002,0.619023236719839,0.03095116211153772,0.4575669467449188,0.9166777729988098,1.8195487454377048,0.1137217936253931,1.3824434280395508
Dataset_3772,single_output,Hardness (HV),xgboost,42,1,0.9841858744621277,0.7018195218845754,0.033419978124082525,0.5339723825454712,0.9306674003601074,1.4134750832168705,0.09423167538437874,1.1990411281585693
Dataset_3772,single_output,Hardness (HV),xgboost,42,2,0.9752103686332703,0.8175253612772401,0.045418076962191994,0.6354488730430603,0.9704802632331848,1.0054355357981997,0.06283971979205247,0.8113762736320496
Dataset_3772,single_output,Hardness (HV),xgboost,42,3,0.9959564208984375,0.3788292993490749,0.018039490857328026,0.27639007568359375,-0.04020214080810547,2.6063683828275646,0.3723383384425202,1.8751602172851562
Dataset_3772,single_output,Hardness (HV),xgboost,42,4,0.9825826287269592,0.7733781579882483,0.0368275302389716,0.5880813598632812,0.9531676769256592,0.9427930502296731,0.06285286993857804,0.7781426310539246
Dataset_3772,single_output,Hardness (HV),xgboost,123,0,0.9790562987327576,0.8256745701707915,0.039317837848192594,0.6623415350914001,0.944284975528717,1.2289829062909636,0.07229311291763625,0.9648056030273438
Dataset_3772,single_output,Hardness (HV),xgboost,123,1,0.9862552285194397,0.6542922062493761,0.032714609592790496,0.5373419523239136,0.8791278004646301,1.7517630687698136,0.1251259301748247,1.4065977334976196
Dataset_3772,single_output,Hardness (HV),xgboost,123,2,0.9816410541534424,0.7382748719600905,0.03515594651017942,0.548342764377594,0.9508119225502014,1.3708338042763748,0.08063728310974881,1.1866956949234009
Dataset_3772,single_output,Hardness (HV),xgboost,123,3,0.9931641221046448,0.45771047868024733,0.021795736889150336,0.3949037790298462,0.8136013150215149,2.515938591218294,0.16772923677445442,1.8642164468765259
Dataset_3772,single_output,Hardness (HV),xgboost,123,4,0.9802078008651733,0.798932430107708,0.042049076474600156,0.5906161665916443,0.9668483138084412,0.885133948722762,0.05532087126614552,0.73419189453125
Dataset_3772,single_output,Hardness (HV),xgboost,7,0,0.9831316471099854,0.6997848222592219,0.03683078035273113,0.5412970781326294,0.9496147036552429,1.3765754777034618,0.076476415092925,1.1469535827636719
Dataset_3772,single_output,Hardness (HV),xgboost,7,1,0.9933855533599854,0.4568760600253853,0.021756002730948066,0.3592866063117981,0.8097181916236877,2.2947239567248907,0.15298159778984555,1.2581645250320435
